x,y,z,f_64_69,f_Freq_110,f_189_13,f_200_86,f_259_24,f_293_42,f_Freq_341,f_375_83,f_466_29,f_485_27,f_496_72,f_547_28,f_590_2,f_663_15,f_674_2,f_718_04,f_735_5,f_804_08,f_813_61,f_921_43,f_960_35,f_987_44,f_1026_2,f_1072_4,f_1121_6,f_Freq_1173,f_1202_9,f_1220_5,f_1247_3,f_1254_6,f_1375_4,f_1444_2,f_1449_6,f_1481_6,f_1501_9,f_1538_2,f_1586_2,f_1649_3,f_1668_7,f_1734_5,f_1753_3,f_1814_8,f_1834_4,f_1912_2,f_Freq_1919,f_1938_9
-15.9068772201194,-21.0845582289561,8.38676265415859,-2.3865163066722e-09+-1.78102369439083e-05i,1.60080047895888e-08+3.07616131112518e-05i,1.10213237514018e-08+1.77803337683601e-06i,1.45440545263231e-08+8.70094965062999e-05i,5.80376080511935e-08+-1.17445982259877e-05i,2.78623253710223e-08+8.08799002967459e-05i,-8.08733620194301e-08+7.63786791000954e-05i,5.99754611680733e-09+4.77975875563865e-05i,2.21525747655796e-08+7.2224149231881e-06i,-7.20258156350324e-08+3.59659975802788e-05i,3.75461347667157e-09+-8.64545050807971e-06i,1.07487536180151e-08+-1.20116809464852e-06i,3.04050867231833e-08+-5.47366253488715e-05i,-7.73550787073856e-08+-3.50223403387592e-05i,5.95215568977999e-09+3.60982957454003e-05i,5.41570107291408e-07+-0.000385279254829886i,-4.14718658904294e-08+2.48459859568998e-05i,-1.82256609065088e-08+1.67757458133245e-05i,1.10045477795373e-07+1.02395460572725e-05i,1.64145019749589e-07+-1.9613881373339e-05i,1.92535782904533e-07+-1.4303684251864e-05i,2.15235325409652e-08+-5.54821728874823e-06i,-2.19521416203603e-06+-2.66878498733795e-05i,4.03577963087782e-07+0.00012391269829221i,1.58853345844553e-08+-4.8032222163265e-05i,-3.24393091515048e-06+-0.000149855318035246i,2.31649226847502e-06+-0.000260392537355395i,6.51743115977496e-08+-5.88284637090569e-05i,-9.58538181418492e-07+6.09974849015915e-05i,-1.65701791235357e-07+2.37578537655335e-05i,7.8738131714674e-08+-1.27693978553022e-05i,3.74470411018478e-08+2.10175215057379e-06i,-2.35202184785307e-05+0.000243880481590512i,6.42171266049389e-07+-7.52698912140132e-05i,-2.27286075990172e-08+-2.63810815972973e-05i,1.74167948600191e-07+4.02884392516807e-06i,2.69667044918866e-07+-3.61847064500842e-05i,-4.3953991221487e-06+0.00015129878833606i,2.3698243951122e-08+1.30535254468828e-05i,-2.5054179164324e-08+-2.13205277535238e-05i,-1.28974731805546e-05+-0.000205239758916023i,1.35214076948625e-08+1.66559197330726e-05i,2.35484899566674e-07+2.0563647162187e-05i,7.52529523240455e-08+-2.0662888293519e-06i,2.28864620766008e-08+-5.58611700536711e-06i,-1.43712499852669e-06+-5.46285307823025e-05i
-15.9068772201194,-7.03746030697089,10.5353535194454,-1.01755477193345e-09+-1.83794351482634e-05i,4.55966753655272e-08+0.000132126939805849i,1.24301787916372e-08+2.76005525929774e-05i,4.66442640430466e-09+2.41343015769522e-05i,6.07069463200438e-08+-1.20786614140625e-05i,2.26430283112414e-08+2.34182816154892e-05i,-9.30059385505804e-08+9.23408969117228e-05i,1.12663927228255e-08+2.17750702247062e-05i,-4.82271388965503e-08+1.85147094976238e-07i,-1.69341966163663e-07+7.51870856907562e-05i,-3.83634638050834e-09+1.82381347274778e-05i,-6.6418510904653e-09+1.04724565537289e-05i,3.36287671069711e-08+-1.5478599761123e-05i,-5.16620272009666e-10+2.32762959757428e-06i,3.1832698092137e-08+9.38898159095483e-06i,3.12057046578424e-07+-0.000217593990988688i,-5.23225682566568e-08+5.33712268349072e-05i,-5.73961923649268e-08+-6.43510493778241e-06i,-4.22673888126881e-07+3.5225761217463e-05i,1.74241935525106e-07+2.67595351598872e-06i,2.94479537246548e-07+-2.8391682734038e-05i,-1.72439237288092e-08+4.56363523371504e-06i,1.39402238056131e-06+2.27577493572448e-05i,2.81519895409595e-07+7.52165803174929e-05i,-2.94898686268694e-08+-3.06912501296261e-05i,-1.94696348103405e-06+-8.79496687870507e-05i,1.026990453572e-06+-0.000105505371810242i,1.53774028013015e-07+-4.58225777916525e-05i,-8.860508631023e-07+5.94203765382667e-05i,-1.3113560436202e-07+2.77462445906586e-05i,1.31976098715114e-07+1.45200494629416e-06i,8.43774077507814e-07+3.70514666195356e-05i,2.95622026501513e-06+-1.72822281490977e-05i,7.3579665609141e-07+-6.49748468707512e-05i,3.4463174134278e-07+1.09149739476966e-05i,8.42500849584896e-08+3.58530331351084e-06i,7.80774315255994e-07+-0.000142439642328674i,-5.61670698527696e-06+0.000209304468797528i,2.08132205896768e-08+1.76981002153286e-05i,1.01212681877971e-07+3.19161462463351e-06i,-7.16171955004227e-06+-8.9995201434208e-05i,5.43061950752251e-08+1.47647845963421e-06i,1.57930028584381e-07+7.87693316360979e-06i,3.23162378434084e-07+-3.04297187934505e-05i,1.24773798223959e-07+-1.73100074887559e-05i,7.66096378226106e-07+2.44616363105922e-05i
-15.9068772201194,7.00963761501428,10.5206190774953,5.07334692866785e-10+-1.51102557496127e-05i,4.54113276334129e-08+0.000130089941699767i,1.18315518758457e-08+3.84357305101914e-05i,-1.87847745808232e-09+-2.00401738793798e-05i,6.06797372248248e-08+-1.04645293735213e-05i,1.56968466764774e-08+-4.38507521746536e-05i,-9.30854406989509e-08+8.76785206983734e-05i,1.75017895700247e-08+-1.17461720944471e-05i,-4.84637965783716e-08+-1.07575047599845e-05i,-1.73856173310728e-07+5.59194175557682e-05i,-6.14846034035907e-09+2.89375738850476e-05i,-5.66584500676584e-09+9.84607152611549e-08i,2.97951732112066e-08+2.25841368403789e-05i,1.97008696025541e-08+-1.42878092101273e-06i,2.95350919096689e-08+-8.84881637247578e-06i,-2.36402688741626e-07+0.000181494399728339i,-5.77884369347939e-08+8.53973852581394e-05i,-4.7166982747233e-08+-1.67237925512838e-05i,-4.14965953181739e-07+3.39465399332771e-05i,1.54871151114825e-07+2.33813295078594e-05i,2.94796648964626e-07+-2.66116544806053e-05i,-1.48048352156572e-08+3.08328470101185e-06i,1.39850681274239e-06+1.4814156592317e-05i,2.09811409419736e-08+-6.24358995904394e-05i,-2.20876919233467e-08+-1.30567813579673e-05i,2.02544907767177e-06+8.56707404958289e-05i,-8.09293451934873e-07+0.000103906739260864i,1.5012698301531e-07+-2.6831569089033e-05i,-8.82136024600707e-07+6.62346379595879e-05i,-1.28546796760145e-07+3.54156471525889e-05i,1.69014187338563e-07+1.80098631878717e-05i,7.96247859559209e-07+1.17507213665955e-05i,4.13415555627143e-06+-7.65754199634707e-05i,7.34352376969636e-07+-4.39332744212981e-05i,3.49054846718157e-07+2.48438008782123e-05i,4.12720192798566e-08+1.2949978292194e-05i,8.05136949928925e-07+-0.000133236830630939i,-5.62464560830268e-06+0.000227959552791152i,3.7042692921746e-08+2.15268769567155e-05i,2.37148156079454e-07+2.17970659007229e-05i,7.54601230675875e-06+0.000126254510650359i,6.28113725890557e-08+-1.21126937377281e-06i,-2.83177981381466e-08+-6.14910344591046e-06i,3.22356699658744e-07+-1.95246849016155e-05i,1.27915345460153e-07+-4.15430342984498e-06i,9.31164725433387e-07+6.27684943620688e-05i
-15.9068772201194,21.0567355369995,8.39303218040741,1.82639487717298e-09+-9.33258396276815e-06i,1.57066267279836e-08+2.6536606999419e-05i,8.78406116726202e-09+4.56432152626858e-05i,-1.19397871879724e-08+-8.79277294117231e-05i,5.78590147901541e-08+-9.85015664573142e-06i,9.61592442215988e-09+-9.77200513215401e-05i,-8.10337795815468e-08+6.34005122905445e-05i,2.18266161531879e-08+-3.73620624781859e-05i,2.09116910737995e-08+-1.93150131482352e-05i,-8.34350151432439e-08+-1.04777735245619e-05i,-1.98738780626923e-09+1.85823231322946e-05i,1.31038161368924e-08+-2.47187154590145e-05i,2.05958390766073e-08+4.86009515444148e-05i,6.62570413931729e-08+2.82562889402937e-05i,2.75978476300669e-08+-4.15232996050133e-05i,-4.8525590261447e-07+0.000349821699641164i,-5.16194559911742e-08+7.82175400733422e-05i,4.53112350749631e-09+-1.31310709146701e-05i,1.22255713179376e-07+1.33487475716279e-06i,1.13845972710675e-07+3.00249202313469e-05i,1.92805732184714e-07+-1.15088111906812e-05i,2.57153582732736e-08+-9.33615323693445e-06i,-2.13703936599629e-06+-4.20236585882683e-05i,-5.12459265148521e-08+-0.000118524562933259i,2.52071459789221e-08+-2.07926215433047e-05i,3.31308481159269e-06+0.00013101496154134i,-2.14614376103416e-06+0.000233707163610694i,5.39004065927832e-08+-1.30252072359538e-05i,-8.81401712650568e-07+5.93654393843229e-05i,-1.36318692408007e-07+3.13551787001249e-05i,1.53011618528323e-07+1.30126616176188e-05i,-1.09308980331478e-08+-4.46448183155978e-05i,-2.10589560175507e-05+0.000133928502561523i,6.32797818629581e-07+-4.17096311218935e-05i,-8.85896300533231e-09+-6.2914880782344e-06i,-3.60793379465362e-08+-5.07822994713923e-06i,3.25731157220326e-07+-2.08639598578372e-05i,-4.3711793011429e-06+0.000188084190157419i,5.49769240862383e-08+1.0998582604987e-05i,2.40319697828138e-07+6.53924326747083e-06i,1.35248317581203e-05+0.000174946578336828i,3.16198738160232e-08+5.90687552607096e-06i,-3.91153077595126e-08+-5.9010902228731e-06i,9.52810423826159e-08+1.0727010226095e-06i,4.80922096230022e-08+-1.11441900479227e-06i,-1.24718977706507e-06+-3.21579936082356e-05i
-15.9068772201194,35.1038334589846,4.91331198225191,2.86950144836964e-09+-2.28212019696336e-06i,-3.44107110159204e-08+-0.000146295302703755i,5.47119757181247e-09+6.32873761993855e-05i,-2.79270249512248e-08+-0.000193947348576373i,4.78067865459788e-08+-1.1267281262929e-05i,6.18508621703434e-09+-0.000111925705892794i,-4.7098636087067e-08+5.5431378525978e-06i,2.16702739511005e-08+-4.95957659922747e-05i,9.24975465637872e-08+-1.41352902971726e-05i,4.72499019351472e-08+-7.88141670647185e-05i,6.16521266292613e-09+-3.67447932265724e-06i,3.15939626842482e-08+-4.33331487093228e-05i,1.0427602215051e-08+5.52201385256337e-05i,1.69530513523139e-07+0.000107710663499356i,4.63265711929537e-08+-8.5050159912274e-05i,-2.12314438278145e-07+0.000131745992421762i,-2.63860808914704e-08+2.9211253452084e-05i,6.04436776861031e-08+1.23719440438159e-06i,8.25304137068382e-07+-4.06326887100318e-05i,8.63513913811016e-08+2.7401778898014e-05i,1.30908042483821e-07+1.16324000600252e-05i,9.21680664936191e-08+-3.63807721155748e-05i,-4.26511042673038e-06+-7.51836722283531e-05i,1.22225416990501e-07+-3.3468153593879e-05i,-4.97350262970157e-09+-3.74247476261847e-05i,7.02906960161563e-07+5.86584941932162e-06i,-1.60556660368743e-06+0.000145098550489569i,-6.76534199869533e-08+-6.46644031747569e-06i,-5.78400774974995e-07+2.55325458104829e-05i,-6.59427468449654e-08+1.03203856771574e-05i,1.0504678818429e-07+-7.52842265281576e-06i,-1.00922496065072e-06+-8.8690341935856e-05i,-6.01636633177104e-05+0.000521747141332996i,3.99942921511477e-07+-3.56694719300747e-05i,-1.51075702859537e-07+-2.73821741143696e-05i,-1.93587700374086e-07+-4.49709252945847e-05i,1.37837975040213e-07+1.7121002915249e-05i,7.93453635912341e-07+-3.02260994435825e-05i,9.71695588823169e-08+-1.9426252223319e-05i,1.60529471270607e-07+-1.83688198372991e-05i,1.59646229135581e-06+-1.45090250497555e-05i,2.81413872809925e-08+-2.15550405656525e-06i,4.67582458894328e-08+-7.076340656716e-06i,-1.98611522703509e-08+-2.16167119250868e-06i,2.50397296309351e-08+-1.6088156647894e-05i,-2.58911956288796e-06+-0.00012513799370868i
-15.9068772201194,49.1509313809698,1.48507188185059,3.91799716796531e-09+6.42269059911617e-06i,-9.51708440246772e-08+-0.00035452231832856i,3.94149261262559e-09+9.95527734267754e-05i,-4.96416983332065e-08+-0.000335063329320696i,3.31512810106072e-08+-1.47075034795956e-05i,6.82478494103794e-09+-7.73942141809817e-05i,1.13366968811597e-08+-9.17853788050356e-05i,1.79460663086915e-08+-5.3916780409486e-05i,1.22687655693919e-07+-1.12566478554731e-06i,1.44092792156913e-07+-0.000109680331477412i,1.37083150134092e-08+-2.54787353670393e-05i,3.92253398236491e-08+-4.48263524264154e-05i,3.81571116326581e-09+3.45474000752596e-05i,2.81726682746545e-07+0.000189079880911611i,7.86480187967791e-08+-0.000116767971836206i,2.71504554879969e-07+-0.00022934265791039i,2.24914819465904e-08+-2.77052431203323e-05i,7.66730489488581e-08+1.73485194804868e-05i,1.14474992095986e-06+-5.73446429266903e-05i,8.47767848719476e-08+2.68443603392323e-05i,1.60440453835453e-07+4.44277808583766e-05i,1.79484292500194e-07+-7.14063675089135e-05i,-2.42951672220658e-06+-4.74866017989108e-05i,3.2004412760956e-07+9.45870745401943e-05i,-5.23254707825977e-08+-3.97975296287235e-05i,-1.58467212264009e-06+-8.93701458606023e-05i,1.7076324375569e-06+-0.000225018126130404i,-1.34207771378687e-07+-1.38873139643751e-05i,-1.4327412407761e-08+-1.40860047822791e-05i,8.02022116062853e-08+-1.29088935423832e-05i,8.43562085341015e-08+-1.54208331764128e-05i,-6.74455158523184e-07+-4.68791616733289e-05i,-4.943981441993e-05+0.000468787025225126i,8.66484637562021e-08+-1.30032036790029e-05i,6.27305786335026e-08+-1.08009454574255e-05i,-3.6661306751952e-07+-7.51866786775634e-05i,5.23872958699025e-07+-6.94845091996421e-05i,7.91313579313819e-06+-0.000330635502009537i,1.70339001824825e-07+-4.51562305352856e-05i,1.30726335092185e-07+-1.78809216737369e-05i,-1.26667111491001e-05+-0.000190931202927199i,7.85420409095579e-08+-1.53520669062617e-05i,1.35564468963688e-07+-6.05284060415528e-06i,9.80885163744352e-08+-8.8663494344313e-06i,1.04799599393154e-07+-1.59783140951727e-05i,-2.03021125213857e-06+-9.44787080596928e-05i
-15.9068772201194,63.198029302955,-4.59175778430395e-05,0+0i,0+-0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+-0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+-0i
-15.9068772201194,77.2451272249401,-3.5665545988699e-05,0+0i,0+-0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+0i,-0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+-0i,-0+0i,0+0i,0+0i,0+0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+-0i
-15.9068772201194,91.2922251469253,-1.28150401162688,0+0i,0+-0i,0+0i,0+-0i,0+-0i,0+0i,0+0i,0+-0i,0+0i,-0+0i,0+0i,-0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+-0i,-0+0i,0+0i,0+0i,0+0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+-0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+-0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,-0+0i,0+0i,0+-0i,0+-0i,0+-0i
-15.9068772201194,105.33932306891,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
