x,y,z,f_64_17,f_103_87,f_187_75,f_194_88,f_261_64,f_288_72,f_327_62,f_352_98,f_450_13,f_461_19,f_470_62,f_525_77,f_567_48,f_639_48,f_664_28,f_675_45,f_710_53,f_762_29,f_778_89,f_925_91,f_928_42,f_932_85,f_962_97,f_1000_6,f_1069_7,f_1124_3,f_1137_9,f_1185_1,f_1223_7,f_1239_1,f_Freq_1309,f_1360_3,f_1380_8,f_1416_1,f_1437_1,f_1494_6,f_1510_5,f_1572_1,f_1629_5,f_1641_5,f_1669_7,f_1736_6,f_1787_3,f_1798_3,f_1855_8,f_1867_6,f_1921_2,f_1955_9,f_1981_9,f_1993_1
-168.529830096059,80.7169841525674,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.529830096059,95.3937750694689,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.529830096059,110.07056598637,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-162.873163946945,-110.081297767152,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-162.873163946945,-95.4045068502503,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-162.873163946945,-80.7277159333488,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-162.873163946945,-66.0509250164473,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-162.873163946945,-51.3741340995459,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-162.873163946945,-36.6973431826444,0.0134967888266627,2.30077831586178e-12+-1.47614525637271e-07i,-1.47152065284499e-09+-4.78976973136992e-06i,2.92661752329297e-10+3.51510325643628e-07i,7.03561164897347e-11+-2.92342067152728e-07i,-7.7787355317985e-09+3.15929533163273e-06i,-2.36419650825464e-10+4.96083232486604e-07i,-1.25325034816438e-09+1.25483808489066e-06i,9.85521652252116e-11+3.11878540849828e-07i,8.07998718368292e-09+3.66320136427418e-06i,1.76149608611753e-09+1.43594935404672e-07i,1.07113979611358e-09+2.23980802117991e-07i,-5.62680497570942e-09+1.49516305432624e-08i,-4.56808937475845e-10+1.53914811056342e-07i,-3.09375967625228e-10+7.9255947886025e-07i,1.30913594660271e-09+7.39608708487756e-07i,1.93795183380936e-09+8.98153038709943e-07i,4.19223095969981e-09+-2.88689914979622e-06i,1.37559342399445e-08+1.35030431019246e-06i,2.02370946680327e-08+-3.77841113079346e-06i,-2.14541819640841e-09+-9.94954465439515e-07i,-2.38560226241817e-09+-1.05359354956308e-06i,-3.63108387418574e-09+-9.96608709513513e-07i,-1.44774317032745e-06+-1.6681722307573e-05i,-3.06608122250359e-10+-1.98533892062395e-07i,-1.45469928975473e-09+8.39639994034282e-07i,-1.58794542351697e-09+-3.18637734205969e-07i,-2.45245958214398e-08+2.95324125164144e-08i,-7.00986933706663e-09+1.25078109241006e-06i,3.1327676459643e-07+4.1576830316651e-07i,-9.38438469723602e-10+8.3515619617743e-07i,-4.34970271341899e-10+2.79197838115828e-07i,-6.55222999575155e-08+-2.36468173958086e-06i,9.43383622460539e-11+1.19263014671427e-06i,7.6508373277457e-09+3.13478167274374e-06i,-6.45897673066985e-09+-4.04531127256336e-06i,7.26587458567257e-10+-4.01312922506523e-07i,-2.34544288646919e-09+-7.21675680979293e-08i,1.67537301711194e-08+-5.29212903614413e-07i,-5.37766055669881e-09+-1.58150153110309e-06i,-5.15881631882406e-08+-5.87702025693476e-06i,-5.10365614484472e-08+1.99062448143189e-06i,-1.3438788895343e-10+8.79772535712382e-07i,1.25514862878707e-09+6.9184964720774e-07i,1.47226368216363e-09+8.32645195111225e-07i,8.33827719477924e-08+-3.48747976569227e-06i,1.21870105476069e-08+-3.69066397398435e-07i,3.6948490833353e-09+-3.19737405054802e-07i,9.76941621764935e-06+-1.30470141722605e-05i,1.01019993082694e-09+-4.19047231885112e-07i,1.51384816894972e-09+-4.57176082306328e-07i
-162.873163946945,-22.0205522657429,0.00435591521685086,2.81133364385852e-12+-1.28582640591054e-07i,-1.72404039656429e-09+-5.58458062636036e-06i,3.64151643790447e-10+5.47067530604406e-07i,7.74917753533031e-11+-2.71290271775698e-07i,-7.28309740107087e-09+2.94479206283117e-06i,-6.25380246448358e-11+2.46481027705511e-07i,-5.32342488856377e-09+4.149536812755e-06i,-2.57641881862133e-10+7.57050458319431e-07i,2.59628584694844e-08+5.66601780034079e-06i,4.41253887708225e-09+-7.17292828701762e-07i,1.91532249647706e-09+-1.69623893274592e-07i,-4.61096183496328e-09+6.69465396415015e-09i,-3.23039727306151e-11+2.19996238046042e-07i,1.4305422398191e-09+-2.59414375539798e-07i,7.43416764342075e-10+3.05764618486919e-07i,1.24275915836503e-09+5.24842128242669e-07i,3.68655249828515e-09+-3.44048972867937e-06i,-6.2860779100169e-10+-4.86869016647569e-07i,-1.0420637408753e-09+-1.62195840051773e-07i,1.17313751084175e-07+-4.16536726619318e-06i,1.5993930198009e-08+-1.79618765172501e-06i,3.119182859132e-09+-1.02741562380775e-06i,5.36313955182263e-08+8.34234147281973e-08i,-8.59008398943562e-10+-4.69398001891582e-07i,-1.72684176232553e-09+1.14339665316695e-06i,-2.88141472214313e-09+-1.40518292923655e-07i,-1.53060525625421e-08+1.85885884728697e-08i,-2.27806069286683e-09+4.79351376436913e-07i,5.2685643523368e-07+4.11571913420316e-07i,-2.00248056765467e-10+1.00098663753477e-06i,1.84344181932608e-09+2.34692734128677e-07i,4.23730216744664e-08+1.65494990386103e-06i,-5.5937062448617e-10+-3.49570885015563e-07i,-1.73691371988066e-09+-2.5939615167247e-07i,-6.73625534484112e-09+-1.27133250269547e-06i,-4.55721838115067e-10+2.62974397197074e-08i,-3.67669708988576e-10+1.6442105994211e-08i,-1.87236709956889e-08+1.11229203606989e-07i,-4.95034167793848e-09+-1.23971943204113e-06i,-4.02196556373084e-08+-4.65474068420537e-06i,1.16479769038439e-08+1.37775824535986e-06i,-6.06161937300695e-11+7.47594119338579e-07i,1.20570759326736e-09+6.04102611264526e-07i,1.26234011621631e-09+6.85593774138962e-07i,6.12450435383212e-08+-2.55399270187572e-06i,6.3260855262087e-09+-7.52666368926704e-07i,3.6927401745046e-09+3.05767912948077e-07i,4.62889941053734e-05+-6.01040411114897e-05i,1.12009977907605e-09+-6.97398778340725e-07i,9.82132081493909e-11+-5.11873671057988e-07i
