x,y,f1_106,f2_181,f3_280,f4_370,f5_493,f6_679,f7_725,f8_836,f9_979,f10_1191,f11_1369
-0.076,-0.0347565714285714,-0.000990425471544243-0.000685728950235172i,-0.00209384316173415-0.000666889610401904i,-0.00354774580883567+0.000638303864957857i,-0.00385425695045698+0.00342469255495864i,-0.00199373973380312+0.00652614154926973i,0.00290804549417629+0.00878781673379338i,0.00905528763299371+0.00704843366695617i,0.0125837813392286+0.00169053730767825i,0.0120985315278183-0.00435604744278362i,0.00867138937509435-0.00868471486486402i,0.00434823824004924-0.0105218135714419i
-0.076,-0.0936137142857143,-0.00772772843280967-0.00245806537505669i,-0.0122356124805126-0.00365485972340935i,-0.0190078013192774+0.000273498875338898i,-0.0220434159886885+0.0110545178802232i,-0.0165296484552966+0.0244984849449504i,0.00151354709606623+0.0364005725021018i,0.0260280421919479+0.0333407679766762i,0.0413201160591205+0.0153911726687751i,0.0410576465562899-0.00600383192398539i,0.0294184928599517-0.0208428449208762i,0.0149043911748366-0.0259142430992306i
-0.076,-0.152470857142857,0.000254894552207103+2.35608423054783e-05i,0.000747048881355611+0.00112335421214466i,0.00220030336865988+0.00179482480188655i,0.00405893282791481+0.00109844807583915i,0.00520407739609576-0.0010424247288857i,0.00459600840517316-0.00458277007422885i,0.00143197866274745-0.00718154070875317i,-0.002363124469382-0.00700644857647871i,-0.00470572696771125-0.00465282396047195i,-0.00493538406571011-0.00173070856087085i,-0.00361357746504838+0.000453538848266901i
-0.076,-0.211328,-0.000212730694275735+0.00098952427242942i,-0.000341223505929639-0.0020584645179864i,-0.00379761161983115-0.00464648120376506i,-0.0094824243012423-0.00288272584914498i,-0.0126919287845894+0.00421492143682223i,-0.00927332379586277+0.0148396073665219i,0.00216707765778719+0.0205739113895645i,0.0137273941083832+0.01639305800547i,0.0183652139532884+0.00651975335327474i,0.0158779880772117-0.00220605728971293i,0.0105191796880606-0.0064729656669309i
-0.027,0.200672,-0.000720034327241015-0.00038711675404836i,-0.00132690053840665+4.14427307149232e-05i,-0.00184092642031994+0.00125947485851403i,-0.00131302117254173+0.00305460420294675i,0.000608395696888741+0.00438276806662064i,0.00385807037925165+0.0042644541180152i,0.00650965353124958+0.00158144952625845i,0.00663647525483425-0.00212541828524873i,0.00457845174765448-0.00471589661415i,0.00190691065495141-0.00537409370117502i,-7.32304740560527e-05-0.00467380383215272i
-0.027,0.141814857142857,-0.00364335728810938-0.000672717940010981i,-0.00573135686555401-0.00140056709269896i,-0.00945839204326346+0.000313816218831603i,-0.0117489072608128+0.00584841268359138i,-0.00949031109830644+0.0130945700131145i,-0.000772898167787546+0.0193807265091502i,0.0114289789974652+0.0176620218106861i,0.0189388926251965+0.00826393309181684i,0.0185540697815998-0.00241476265759442i,0.0128925790497983-0.00920789397447205i,0.00643003923089759-0.0111507940708008i
-0.027,0.0829577142857143,-0.00635155047867048-0.00197074968945524i,-0.00997262891318365-0.00227002645542464i,-0.0152972220803986+0.00146097717325901i,-0.0177105612282879+0.0102565700817271i,-0.0136277793906495+0.0207543500797524i,-0.000217602316067986+0.029650851088421i,0.018032600201492+0.0267740244957813i,0.0293658216017472+0.0127101033144106i,0.0292143133705381-0.00351603018089676i,0.02090874121772-0.0144761933656483i,0.0107788020694296-0.0181503471694175i
-0.027,0.0241005714285714,-0.00290005437953051-0.00134437579783823i,-0.00502934726514347-0.00098344457984371i,-0.00772231475990779+0.001868218135279i,-0.00812633941793512+0.00738269680540315i,-0.00442911106064753+0.0132023850219651i,0.00480602948723982+0.0170107745087586i,0.0159081080466392+0.0130125218530376i,0.0216563210756208+0.00250555054834122i,0.0198090813466496-0.00865640860906899i,0.0127408686629303-0.0160645409437322i,0.00434875597152738-0.0186332847902575i
-0.027,-0.0347565714285714,-0.00136607922119911-0.000819873979049018i,-0.00269126024928985-0.00062728074095594i,-0.00440773206552169+0.0011006689263827i,-0.00474833423169098+0.00452914908690334i,-0.00254067958895572+0.00823720641636304i,0.00316316985051829+0.010830261787463i,0.010218474796284+0.00864763654030021i,0.0141431702516715+0.00232984758287431i,0.0134481006648138-0.00458224254034467i,0.00951879488184241-0.00936488379830643i,0.00472241070626463-0.0113279186946613i
-0.027,-0.0936137142857143,-0.00944012918400669-0.00265143346011812i,-0.0147016249095005-0.00332902943497836i,-0.0227380705781969+0.00195694345925132i,-0.0265684134961683+0.0150698450019847i,-0.0204541549179478+0.0309281404446753i,-0.000207380530486766+0.0442129244889392i,0.0271842876304363+0.0395303812842509i,0.0437753684496318+0.0179694771631016i,0.0427238628344619-0.00647331115499639i,0.0294585429783213-0.0223912739378506i,0.0138838890192556-0.0269706209649759i
