x,y,f_{1} = 112,f_{2} = 171.5,f_{3} = 286.5,f_{4} = 382,f_{5} = 502.5,f_{6} = 686,f_{7} = 737.5,f_{8} = 841.5,f_{9} = 994,f_{10} = 1206,f_{11} = 1382.5
-0.076,0.0241005714285714,0.00410987309465291+0.00463609425634763i,0.00471392903047902+0i,-0.0111312381319823+0.00101956274307468i,-0.191740457673875-0.291390151239888i,-0.0314273143973687-0.00277420674530213i,-0.00757113434591227-0.0288254343445867i,-0.00539335474213479-0.0313585040498256i,0.0118632313779728-0.0179689372835046i,-0.098991495971144+0.0528784217537883i,0.0111250961684774+0.0237945528345033i,-0.0303537121376839+0.0981151621512788i
-0.076,0.0829577142857143,0.00613686725278033+0.00647834571650125i,0.00751144475748375+0i,0.0103154541760973+0.0181510842587982i,-0.156037305655321-0.231355358965739i,-0.0424230326736428+0.00657079546475251i,-0.0561767669388206-0.0625346872154065i,-0.0869300385992116-0.0534043438702312i,0.00891271195948698-0.0294610539417261i,0.0298832848668618-0.0559218368784315i,0.0639095224080364-0.00264734725490871i,0.10212207609644-0.00429755079151107i
-0.076,0.141814857142857,0.00601525216033633+0.00584086401088154i,0.00200701253354661+0.00712208347492139i,0.00671112741196497+0.0217503000890416i,0.00930323819299464+0.0655133616805067i,-0.00568083943132243-0.063867152715925i,-0.04873801702843-0.0586814724533179i,-0.0868512536917578-0.0556602922471735i,0.0053420258582464-0.0351265266450885i,0.0613774255628657-0.142232276958846i,0.128597305485886-0.00535041328286528i,0.170011396118439-0.0820143632417217i
-0.076,0.200672,0.00276719599417686+0.00247728769624149i,0.0033976668362868+0i,0.00212038707279097+0.0084855734177313i,0.0420848516122302+0.0784654978616149i,-0.00138303083258406-0.0253951257156998i,-0.0190188704454044-0.0152820271766382i,-0.0466716952547459-0.0163625378945447i,-0.00357235715820243-0.0108242626854886i,0.00591457553313801-0.104631297718458i,0.0312727172551136-0.0777050053342161i,0.0273376591511984-0.0504254072234639i
-0.027,-0.211328,0.00382946243136559+0i,0.00452019031223156+0i,0.0124993658754938+0.0196631602256026i,0.0244052346011543+0.0570224427256291i,-0.00297830496077108+0.00306061260849852i,0.000700808351842196-0.00554569534311241i,0.0183498178266491-0.0157741907369373i,0.00842692248273472-0.0144783823559018i,0.0108064417436772-0.181843120302698i,0.0541514445902768-0.0294518820084931i,0.0476925341932257+0.0126749040827358i
-0.027,-0.152470857142857,0.0138089029433718+0i,0.0150880954646965+0i,0.0171026572782838+0.0440831254630541i,0.0348127375708519+0.122932865755182i,-0.0177030545595886-0.0199116388966669i,0.0179199412133158-0.00491947380936261i,0.155802420529832-0.0533294783141625i,0.0425184223750391-0.0568753513768445i,0.162073317297805-0.69266649329085i,0.0871609924697788+0.0059136182826846i,0.131556424518316+0.0796134097116679i
-0.027,-0.0936137142857143,0.0114412046787899+0.0171920522222752i,0.0154506649609013+0i,-0.0289882667152697+0.0091903288253744i,-0.205809442736158-0.1790166420999i,-0.0466277318323851-0.10341974547219i,0.0753595548423398-0.0112185210331596i,0.291849175465744-0.0745811557850314i,0.0829341008491993-0.0833917556663187i,0.280012190924842-0.716526868607504i,0.111575668513108-0.0133837475877188i,0.0455871138568727-0.0327359075526292i
-0.027,-0.0347565714285714,0.0081682421944007+0.0129217892865646i,0.0104244659719719+0i,-0.0369431988259979-0.0297223115120917i,-0.497546323804076-0.723725761097626i,-0.0651691909562348-0.121984324234042i,0.0698412770343145-0.033214686607545i,0.198074730827373-0.0531466441175793i,0.0696691678577419-0.0401418615666209i,-0.0325898818933079-0.121880667620211i,0.0944836728642834-0.0374412527488873i,-0.0998673503260781-0.105866135468418i
-0.027,0.0241005714285714,0.0127949138730856+0i,0.00940612406201781+0i,-0.00756888604441353-0.0249666060432074i,-0.661100333167879-1.0433350747526i,-0.0761882379083437-0.0836938608752105i,-0.0150324388421416-0.0631200960339605i,0.0177256934800624-0.0433083418661936i,0.0409052941143304-0.0298156125809907i,-0.360584921596743+0.32920124943007i,-0.171969230514608-0.121658136020461i,-0.123525669183694+0.1379229882132i
-0.027,0.0829577142857143,0.00956777653904786+0.0103072917316914i,0.0112716555840884+0i,0.00642627631354991+0i,-0.51797112916268-0.823316061174882i,-0.0691751149384674-0.0446756933305309i,-0.116546052653481-0.148779816242868i,-0.175421723905747-0.127939938552792i,0.0195402794093378-0.06021351002655i,-0.105622698441975-0.0359186700176465i,-0.0402165045192485-0.126733435093193i,-0.0521683506569347+0.203132481638727i
