x,y,z
-234.236220472434,-185.186235466904,NaN
-234.236220472434,-188.648284527636,NaN
-234.236220472434,-192.110333588368,NaN
-234.236220472434,-195.572382649099,NaN
-234.236220472434,-199.034431709831,NaN
-234.236220472434,-202.496480770561,NaN
-234.236220472434,-205.958529831293,NaN
-234.236220472434,-209.420578892024,NaN
-234.236220472434,-212.882627952756,NaN
-234.236220472434,-216.344677013488,NaN
-234.236220472434,-219.806726074219,NaN
-230.740157480308,219.873504638672,NaN
-230.740157480308,216.411455577941,NaN
-230.740157480308,212.949406517209,NaN
-230.740157480308,209.487357456478,NaN
-230.740157480308,206.025308395746,NaN
-230.740157480308,202.563259335014,NaN
-230.740157480308,199.101210274283,NaN
-230.740157480308,195.639161213552,NaN
-230.740157480308,192.177112152821,NaN
-230.740157480308,188.715063092089,NaN
-230.740157480308,185.253014031358,NaN
-230.740157480308,181.790964970626,NaN
-230.740157480308,178.328915909894,NaN
-230.740157480308,174.866866849163,NaN
-230.740157480308,171.404817788432,NaN
-230.740157480308,167.942768727701,NaN
-230.740157480308,164.480719666969,NaN
-230.740157480308,161.018670606238,NaN
-230.740157480308,157.556621545506,NaN
-230.740157480308,154.094572484774,NaN
-230.740157480308,150.632523424044,NaN
-230.740157480308,147.170474363312,NaN
-230.740157480308,143.708425302581,NaN
-230.740157480308,140.246376241849,NaN
-230.740157480308,136.784327181118,NaN
-230.740157480308,133.322278120386,NaN
-230.740157480308,129.860229059654,NaN
-230.740157480308,126.398179998924,NaN
-230.740157480308,122.936130938192,NaN
-230.740157480308,119.474081877461,NaN
-230.740157480308,116.012032816729,NaN
-230.740157480308,112.549983755998,NaN
-230.740157480308,109.087934695266,NaN
-230.740157480308,105.625885634535,NaN
-230.740157480308,102.163836573804,NaN
-230.740157480308,98.701787513072,NaN
-230.740157480308,95.2397384523407,NaN
-230.740157480308,91.7776893916092,NaN
-230.740157480308,88.3156403308778,NaN
-230.740157480308,84.8535912701464,NaN
-230.740157480308,81.391542209415,NaN
-230.740157480308,77.9294931486835,NaN
-230.740157480308,74.4674440879522,NaN
-230.740157480308,71.0053950272207,NaN
-230.740157480308,67.5433459664893,NaN
-230.740157480308,64.0812969057578,NaN
-230.740157480308,60.6192478450265,NaN
-230.740157480308,57.157198784295,NaN
-230.740157480308,53.6951497235636,NaN
-230.740157480308,50.2331006628322,NaN
-230.740157480308,46.7710516021008,NaN
-230.740157480308,43.3090025413693,NaN
-230.740157480308,39.846953480638,NaN
-230.740157480308,36.3849044199065,NaN
-230.740157480308,32.9228553591751,NaN
-230.740157480308,29.4608062984436,NaN
-230.740157480308,25.9987572377123,NaN
-230.740157480308,22.5367081769808,NaN
-230.740157480308,19.0746591162493,NaN
-230.740157480308,15.612610055518,NaN
-230.740157480308,12.1505609947865,NaN
-230.740157480308,8.68851193405511,NaN
-230.740157480308,5.22646287332369,NaN
-230.740157480308,1.76441381259227,NaN
-230.740157480308,-1.69763524813915,NaN
